sku_original,competidor,marca,categoria,nombre_producto,url_producto,precio_regular,precio_oferta,cuotas,hay_stock
FRA-celular-samsung-galaxy-a17-128gb-negro-7,Fravega,SAMSUNG,Smartphones,Celular Samsung Galaxy A17 128GB Negro,https://www.fravega.com/p/celular-samsung-galaxy-a17-128gb-negro-782838/,489999.0,429999.0,1,True
FRA-celular-motorola-g17-4gb-128gb-782866,Fravega,MOTOROLA,Smartphones,Celular Motorola G17 4GB 128GB,https://www.fravega.com/p/celular-motorola-g17-4gb-128gb-782866/,399999.0,299999.0,1,True
FRA-celular-xiaomi-redmi-15c-4gb-128gb-black,Fravega,XIAOMI,Smartphones,Celular Xiaomi Redmi 15C 4GB 128GB Black,https://www.fravega.com/p/celular-xiaomi-redmi-15c-4gb-128gb-black-782956/,399999.0,299999.0,1,True
FRA-celular-zte-a56-pro-4gb-128gb-gray-78245,Fravega,ZTE,Smartphones,Celular ZTE A56 Pro 4GB 128GB Gray,https://www.fravega.com/p/celular-zte-a56-pro-4gb-128gb-gray-782455/,269999.0,229999.0,1,True
FRA-celular-samsung-galaxy-s25-fe-5g-256gb-b,Fravega,SAMSUNG,Smartphones,Celular Samsung Galaxy S25 FE 5G 256GB Blanco,https://www.fravega.com/p/celular-samsung-galaxy-s25-fe-5g-256gb-blanco-782716/,1799999.0,1599999.0,1,True
FRA-celular-motorola-g06-nfc-4gb-64gb-naranj,Fravega,MOTOROLA,Smartphones,Celular Motorola G06 NFC 4GB 64GB Naranja,https://www.fravega.com/p/celular-motorola-g06-nfc-4gb-64gb-naranja-783095/,259999.0,199999.0,1,True
FRA-celular-nubia-music-2-4gb-128gb-auricula,Fravega,OTRAS,Smartphones,Celular Nubia Music 2 4GB 128GB + Auriculares I66SE WHITE,https://www.fravega.com/p/celular-nubia-music-2-4gb-128gb-auriculares-i66se-white-782671/,289999.0,239999.0,1,True
FRA-celular-moto-g17-4-256gb-bordeaux-990297,Fravega,OTRAS,Smartphones,Celular Moto G17 4+256GB Bordeaux,https://www.fravega.com/p/celular-moto-g17-4-256gb-bordeaux-990297791/,462856.0,323999.0,1,True
FRA-celular-xiaomi-redmi-note-15-8gb-256gb-b,Fravega,XIAOMI,Smartphones,Celular Xiaomi Redmi Note 15 8GB 256GB Black,https://www.fravega.com/p/celular-xiaomi-redmi-note-15-8gb-256gb-black-782936/,749999.0,599999.0,1,True
FRA-celular-motorola-razr-fold-16gb-1tb-blac,Fravega,MOTOROLA,Smartphones,Celular Motorola Razr Fold 16GB 1TB Blackened,https://www.fravega.com/p/celular-motorola-razr-fold-16gb-1tb-blackened-783100/,3699999.0,2799999.0,1,True
FRA-celular-zte-blade-v80-max-4gb-256gb-blac,Fravega,ZTE,Smartphones,Celular ZTE Blade V80 Max 4GB 256GB Black,https://www.fravega.com/p/celular-zte-blade-v80-max-4gb-256gb-black-783239/,449999.0,329999.0,1,True
FRA-celular-motorola-moto-g04s-4gb-64gb-sunr,Fravega,MOTOROLA,Smartphones,Celular Motorola Moto G04s 4GB 64GB Sunrise Orange PB380015AR,https://www.fravega.com/p/celular-motorola-moto-g04s-4gb-64gb-sunrise-orange-pb380015ar-990295649/,314599.0,246998.99,1,True
FRA-celular-samsung-galaxy-s25-fe-5g-256gb-j,Fravega,SAMSUNG,Smartphones,Celular Samsung Galaxy S25 FE 5G 256GB Jet Black,https://www.fravega.com/p/celular-samsung-galaxy-s25-fe-5g-256gb-jet-black-782880/,1799999.0,1599999.0,1,True
FRA-celular-nubia-neo-3-gt-5g-256gb-grey-782,Fravega,OTRAS,Smartphones,Celular Nubia Neo 3 GT 5G 256GB Grey,https://www.fravega.com/p/celular-nubia-neo-3-gt-5g-256gb-grey-782579/,689999.0,619999.0,1,True
FRA-celular-xiaomi-redmi-15c-4gb-128gb-blue-,Fravega,XIAOMI,Smartphones,Celular Xiaomi Redmi 15C 4GB 128GB Blue,https://www.fravega.com/p/celular-xiaomi-redmi-15c-4gb-128gb-blue-782955/,399999.0,299999.0,1,True
FRA-celular-zte-a56-pro-4gb-128gb-gold-78244,Fravega,ZTE,Smartphones,Celular ZTE A56 Pro 4GB 128GB Gold,https://www.fravega.com/p/celular-zte-a56-pro-4gb-128gb-gold-782442/,269999.0,229999.0,1,True
FRA-celular-moto-motorola-g24-power-128-8gb-,Fravega,MOTOROLA,Smartphones,Celular Moto Motorola G24 Power 128/8GB Celeste,https://www.fravega.com/p/celular-moto-motorola-g24-power-128-8gb-celeste-990190458/,499998.0,299999.0,1,True
FRA-celular-samsung-galaxy-a16-lte-4gb-128gb,Fravega,SAMSUNG,Smartphones,Celular Samsung Galaxy A16 LTE 4GB 128GB Gris,https://www.fravega.com/p/celular-samsung-galaxy-a16-lte-4gb-128gb-gris-782877/,469999.0,279999.0,1,True
FRA-celular-motorola-gmax-8gb-256gb-blue-ato,Fravega,MOTOROLA,Smartphones,Celular Motorola GMAX 8GB 256GB Blue Atoll,https://www.fravega.com/p/celular-motorola-gmax-8gb-256gb-blue-atoll-783082/,899999.0,799999.0,1,True
FRA-celular-xiaomi-redmi-note-15-pro-5g-8gb-,Fravega,XIAOMI,Smartphones,Celular Xiaomi Redmi Note 15 Pro 5G 8GB 512GB Black,https://www.fravega.com/p/celular-xiaomi-redmi-note-15-pro-5g-8gb-512gb-black-782932/,1199999.0,899999.0,1,True
FRA-celular-zte-v80-pro-8-gb-256-gb-negro-78,Fravega,ZTE,Smartphones,Celular ZTE V80 PRO 8 GB 256 GB Negro,https://www.fravega.com/p/celular-zte-v80-pro-8-gb-256-gb-negro-782438/,484999.0,449999.0,1,True
FRA-celular-samsung-galaxy-a37-5g-8gb-256gb-,Fravega,SAMSUNG,Smartphones,Celular Samsung Galaxy A37 5G 8GB 256GB Gris,https://www.fravega.com/p/celular-samsung-galaxy-a37-5g-8gb-256gb-gris-783024/,1149999.0,899999.0,1,True
FRA-celular-tcl-k70-4gb-128gb-tpu-case-afa-7,Fravega,TCL,Smartphones,Celular TCL K70 4GB 128GB + TPU Case AFA,https://www.fravega.com/p/celular-tcl-k70-4gb-128gb-tpu-case-afa-783053/,319999.0,229999.0,1,True
FRA-celular-galaxy-a16-4g-blue-black-782588,Fravega,OTRAS,Smartphones,Celular Galaxy A16 4G Blue Black,https://www.fravega.com/p/celular-galaxy-a16-4g-blue-black-782588/,469999.0,329999.0,1,True
FRA-celular-motorola-g17-4gb-256gb-782883,Fravega,MOTOROLA,Smartphones,Celular Motorola G17 4GB 256GB,https://www.fravega.com/p/celular-motorola-g17-4gb-256gb-782883/,449999.0,349999.0,1,True
FRA-celular-motorola-g17-4gb-256gb-782851,Fravega,MOTOROLA,Smartphones,Celular Motorola G17 4GB 256GB,https://www.fravega.com/p/celular-motorola-g17-4gb-256gb-782851/,449999.0,349999.0,1,True
FRA-celular-xiaomi-redmi-note-14-128gb-midni,Fravega,XIAOMI,Smartphones,Celular Xiaomi Redmi Note 14 128GB Midnight Black,https://www.fravega.com/p/celular-xiaomi-redmi-note-14-128gb-midnight-black-782554/,529999.0,419999.0,1,True
FRA-celular-samsung-galaxy-a07-128gb-negro-7,Fravega,SAMSUNG,Smartphones,Celular Samsung Galaxy A07 128GB Negro,https://www.fravega.com/p/celular-samsung-galaxy-a07-128gb-negro-782739/,349999.0,289999.0,1,True
FRA-celular-samsung-galaxy-a17-5g-256gb-gray,Fravega,SAMSUNG,Smartphones,Celular Samsung Galaxy A17 5G 256GB Gray,https://www.fravega.com/p/celular-samsung-galaxy-a17-5g-256gb-gray-782853/,769999.0,636362.81,1,True
FRA-celular-tecno-spark-30-pro-128gb-obsidia,Fravega,OTRAS,Smartphones,Celular Tecno Spark 30 Pro 128GB Obsidian Edge,https://www.fravega.com/p/celular-tecno-spark-30-pro-128gb-obsidian-edge-783067/,299999.0,247933.06,1,True
FRA-celular-motorola-g77-8gb-256gb-782745,Fravega,MOTOROLA,Smartphones,Celular Motorola G77 8GB 256GB,https://www.fravega.com/p/celular-motorola-g77-8gb-256gb-782745/,799999.0,699999.0,1,True
FRA-celular-motorola-g67-4gb-256gb-782593,Fravega,MOTOROLA,Smartphones,Celular Motorola G67 4GB 256GB,https://www.fravega.com/p/celular-motorola-g67-4gb-256gb-782593/,699999.0,549999.0,1,True
FRA-celular-motorola-gmax-8gb-256gb-overture,Fravega,MOTOROLA,Smartphones,Celular Motorola GMAX 8GB 256GB Overture,https://www.fravega.com/p/celular-motorola-gmax-8gb-256gb-overture-783084/,899999.0,799999.0,1,True
FRA-celular-motorola-g06-nfc-4gb-128gb-verde,Fravega,MOTOROLA,Smartphones,Celular Motorola G06 NFC 4GB 128GB Verde,https://www.fravega.com/p/celular-motorola-g06-nfc-4gb-128gb-verde-783092/,329999.0,249999.0,1,True
FRA-celular-samsung-galaxy-a17-128gb-negro-7,Fravega,SAMSUNG,Smartphones,Celular Samsung Galaxy A17 128GB Negro,https://www.fravega.com/p/celular-samsung-galaxy-a17-128gb-negro-782838/,489999.0,429999.0,1,True
FRA-celular-motorola-g17-4gb-128gb-782866,Fravega,MOTOROLA,Smartphones,Celular Motorola G17 4GB 128GB,https://www.fravega.com/p/celular-motorola-g17-4gb-128gb-782866/,399999.0,299999.0,1,True
FRA-celular-xiaomi-redmi-15c-4gb-128gb-black,Fravega,XIAOMI,Smartphones,Celular Xiaomi Redmi 15C 4GB 128GB Black,https://www.fravega.com/p/celular-xiaomi-redmi-15c-4gb-128gb-black-782956/,399999.0,299999.0,1,True
FRA-celular-zte-a56-pro-4gb-128gb-gray-78245,Fravega,ZTE,Smartphones,Celular ZTE A56 Pro 4GB 128GB Gray,https://www.fravega.com/p/celular-zte-a56-pro-4gb-128gb-gray-782455/,269999.0,229999.0,1,True
FRA-celular-samsung-galaxy-s25-fe-5g-256gb-b,Fravega,SAMSUNG,Smartphones,Celular Samsung Galaxy S25 FE 5G 256GB Blanco,https://www.fravega.com/p/celular-samsung-galaxy-s25-fe-5g-256gb-blanco-782716/,1799999.0,1599999.0,1,True
FRA-celular-motorola-g06-nfc-4gb-64gb-naranj,Fravega,MOTOROLA,Smartphones,Celular Motorola G06 NFC 4GB 64GB Naranja,https://www.fravega.com/p/celular-motorola-g06-nfc-4gb-64gb-naranja-783095/,259999.0,199999.0,1,True
FRA-celular-nubia-music-2-4gb-128gb-auricula,Fravega,OTRAS,Smartphones,Celular Nubia Music 2 4GB 128GB + Auriculares I66SE WHITE,https://www.fravega.com/p/celular-nubia-music-2-4gb-128gb-auriculares-i66se-white-782671/,289999.0,239999.0,1,True
FRA-celular-moto-g17-4-256gb-bordeaux-990297,Fravega,OTRAS,Smartphones,Celular Moto G17 4+256GB Bordeaux,https://www.fravega.com/p/celular-moto-g17-4-256gb-bordeaux-990297791/,462856.0,323999.0,1,True
FRA-celular-xiaomi-redmi-note-15-8gb-256gb-b,Fravega,XIAOMI,Smartphones,Celular Xiaomi Redmi Note 15 8GB 256GB Black,https://www.fravega.com/p/celular-xiaomi-redmi-note-15-8gb-256gb-black-782936/,749999.0,599999.0,1,True
FRA-celular-motorola-razr-fold-16gb-1tb-blac,Fravega,MOTOROLA,Smartphones,Celular Motorola Razr Fold 16GB 1TB Blackened,https://www.fravega.com/p/celular-motorola-razr-fold-16gb-1tb-blackened-783100/,3699999.0,2799999.0,1,True
FRA-celular-zte-blade-v80-max-4gb-256gb-blac,Fravega,ZTE,Smartphones,Celular ZTE Blade V80 Max 4GB 256GB Black,https://www.fravega.com/p/celular-zte-blade-v80-max-4gb-256gb-black-783239/,449999.0,329999.0,1,True
FRA-celular-motorola-moto-g04s-4gb-64gb-sunr,Fravega,MOTOROLA,Smartphones,Celular Motorola Moto G04s 4GB 64GB Sunrise Orange PB380015AR,https://www.fravega.com/p/celular-motorola-moto-g04s-4gb-64gb-sunrise-orange-pb380015ar-990295649/,314599.0,246998.99,1,True
FRA-celular-samsung-galaxy-s25-fe-5g-256gb-j,Fravega,SAMSUNG,Smartphones,Celular Samsung Galaxy S25 FE 5G 256GB Jet Black,https://www.fravega.com/p/celular-samsung-galaxy-s25-fe-5g-256gb-jet-black-782880/,1799999.0,1599999.0,1,True
FRA-celular-nubia-neo-3-gt-5g-256gb-grey-782,Fravega,OTRAS,Smartphones,Celular Nubia Neo 3 GT 5G 256GB Grey,https://www.fravega.com/p/celular-nubia-neo-3-gt-5g-256gb-grey-782579/,689999.0,619999.0,1,True
FRA-celular-xiaomi-redmi-15c-4gb-128gb-blue-,Fravega,XIAOMI,Smartphones,Celular Xiaomi Redmi 15C 4GB 128GB Blue,https://www.fravega.com/p/celular-xiaomi-redmi-15c-4gb-128gb-blue-782955/,399999.0,299999.0,1,True
FRA-celular-zte-a56-pro-4gb-128gb-gold-78244,Fravega,ZTE,Smartphones,Celular ZTE A56 Pro 4GB 128GB Gold,https://www.fravega.com/p/celular-zte-a56-pro-4gb-128gb-gold-782442/,269999.0,229999.0,1,True
FRA-celular-moto-motorola-g24-power-128-8gb-,Fravega,MOTOROLA,Smartphones,Celular Moto Motorola G24 Power 128/8GB Celeste,https://www.fravega.com/p/celular-moto-motorola-g24-power-128-8gb-celeste-990190458/,499998.0,299999.0,1,True
FRA-celular-samsung-galaxy-a16-lte-4gb-128gb,Fravega,SAMSUNG,Smartphones,Celular Samsung Galaxy A16 LTE 4GB 128GB Gris,https://www.fravega.com/p/celular-samsung-galaxy-a16-lte-4gb-128gb-gris-782877/,469999.0,279999.0,1,True
FRA-celular-motorola-gmax-8gb-256gb-blue-ato,Fravega,MOTOROLA,Smartphones,Celular Motorola GMAX 8GB 256GB Blue Atoll,https://www.fravega.com/p/celular-motorola-gmax-8gb-256gb-blue-atoll-783082/,899999.0,799999.0,1,True
FRA-celular-xiaomi-redmi-note-15-pro-5g-8gb-,Fravega,XIAOMI,Smartphones,Celular Xiaomi Redmi Note 15 Pro 5G 8GB 512GB Black,https://www.fravega.com/p/celular-xiaomi-redmi-note-15-pro-5g-8gb-512gb-black-782932/,1199999.0,899999.0,1,True
FRA-celular-zte-v80-pro-8-gb-256-gb-negro-78,Fravega,ZTE,Smartphones,Celular ZTE V80 PRO 8 GB 256 GB Negro,https://www.fravega.com/p/celular-zte-v80-pro-8-gb-256-gb-negro-782438/,484999.0,449999.0,1,True
FRA-celular-samsung-galaxy-a17-128gb-gris-78,Fravega,SAMSUNG,Smartphones,Celular Samsung Galaxy A17 128GB Gris,https://www.fravega.com/p/celular-samsung-galaxy-a17-128gb-gris-782808/,489999.0,429999.0,1,True
FRA-celular-motorola-edge-70-fusion-8gb-256g,Fravega,MOTOROLA,Smartphones,Celular Motorola Edge 70 Fusion 8GB 256GB,https://www.fravega.com/p/celular-motorola-edge-70-fusion-8gb-256gb-782900/,999999.0,899999.0,1,True
FRA-celular-motorola-edge-70-fusion-8gb-256g,Fravega,MOTOROLA,Smartphones,Celular Motorola Edge 70 Fusion 8GB 256GB,https://www.fravega.com/p/celular-motorola-edge-70-fusion-8gb-256gb-782913/,999999.0,899999.0,1,True
FRA-celular-motorola-g06-4gb-128gb-verde-782,Fravega,MOTOROLA,Smartphones,Celular Motorola G06 4GB 128GB Verde,https://www.fravega.com/p/celular-motorola-g06-4gb-128gb-verde-782567/,259999.0,214875.21,1,True
FRA-celular-samsung-galaxy-a07-64gb-verde-78,Fravega,SAMSUNG,Smartphones,Celular Samsung Galaxy A07 64GB Verde,https://www.fravega.com/p/celular-samsung-galaxy-a07-64gb-verde-782958/,299999.0,247933.0,1,True
FRA-iphone-15-128gb-black-782468,Fravega,OTRAS,Smartphones,iPhone 15 128GB Black,https://www.fravega.com/p/iphone-15-128gb-black-782468/,1749999.0,1446280.17,1,True
FRA-celular-xiaomi-redmi-note-14-pro-256gb-a,Fravega,XIAOMI,Smartphones,Celular Xiaomi Redmi Note 14 Pro 256GB Aurora Purple,https://www.fravega.com/p/celular-xiaomi-redmi-note-14-pro-256gb-aurora-purple-782600/,799999.0,729999.0,1,True
FRA-celular-samsung-galaxy-a16-128-4gb-black,Fravega,SAMSUNG,Smartphones,Celular Samsung Galaxy A16 128/4GB Black,https://www.fravega.com/p/celular-samsung-galaxy-a16-128-4gb-black-990287111/,349999.0,299999.0,1,True
FRA-celular-xiaomi-redmi-14c-4-256gb-midnigh,Fravega,XIAOMI,Smartphones,Celular Xiaomi Redmi 14C 4/256GB Midnight Black,https://www.fravega.com/p/celular-xiaomi-redmi-14c-4-256gb-midnight-black-782596/,399999.0,379999.0,1,True
FRA-celular-motorola-g15-4-gb-256-gb-naranja,Fravega,MOTOROLA,Smartphones,Celular Motorola G15 4 GB 256 GB Naranja,https://www.fravega.com/p/celular-motorola-g15-4-gb-256-gb-naranja-782816/,349999.0,289255.37,1,True
FRA-celular-motorola-edge-70-12gb-512gb-7825,Fravega,MOTOROLA,Smartphones,Celular Motorola EDGE 70 12GB 512GB,https://www.fravega.com/p/celular-motorola-edge-70-12gb-512gb-782528/,1499999.0,1199999.0,1,True
FRA-celular-samsung-galaxy-a57-5g-8gb-256gb-,Fravega,SAMSUNG,Smartphones,Celular Samsung Galaxy A57 5G 8GB 256GB Violeta,https://www.fravega.com/p/celular-samsung-galaxy-a57-5g-8gb-256gb-violeta-783109/,1349999.0,1115701.65,1,True
FRA-celular-motorola-edge-70-pro-12gb-512gb-,Fravega,MOTOROLA,Smartphones,Celular Motorola Edge 70 Pro 12GB 512GB Lily White,https://www.fravega.com/p/celular-motorola-edge-70-pro-12gb-512gb-lily-white-783086/,1699999.0,1499999.0,1,True
FRA-celular-samsung-galaxy-a17-128gb-negro-7,Fravega,SAMSUNG,Smartphones,Celular Samsung Galaxy A17 128GB Negro,https://www.fravega.com/p/celular-samsung-galaxy-a17-128gb-negro-782838/,489999.0,429999.0,1,True
FRA-celular-motorola-g17-4gb-128gb-782866,Fravega,MOTOROLA,Smartphones,Celular Motorola G17 4GB 128GB,https://www.fravega.com/p/celular-motorola-g17-4gb-128gb-782866/,399999.0,299999.0,1,True
FRA-celular-xiaomi-redmi-15c-4gb-128gb-black,Fravega,XIAOMI,Smartphones,Celular Xiaomi Redmi 15C 4GB 128GB Black,https://www.fravega.com/p/celular-xiaomi-redmi-15c-4gb-128gb-black-782956/,399999.0,299999.0,1,True
FRA-celular-zte-a56-pro-4gb-128gb-gray-78245,Fravega,ZTE,Smartphones,Celular ZTE A56 Pro 4GB 128GB Gray,https://www.fravega.com/p/celular-zte-a56-pro-4gb-128gb-gray-782455/,269999.0,229999.0,1,True
FRA-celular-samsung-galaxy-s25-fe-5g-256gb-b,Fravega,SAMSUNG,Smartphones,Celular Samsung Galaxy S25 FE 5G 256GB Blanco,https://www.fravega.com/p/celular-samsung-galaxy-s25-fe-5g-256gb-blanco-782716/,1799999.0,1599999.0,1,True
FRA-celular-motorola-g06-nfc-4gb-64gb-naranj,Fravega,MOTOROLA,Smartphones,Celular Motorola G06 NFC 4GB 64GB Naranja,https://www.fravega.com/p/celular-motorola-g06-nfc-4gb-64gb-naranja-783095/,259999.0,199999.0,1,True
FRA-celular-nubia-music-2-4gb-128gb-auricula,Fravega,OTRAS,Smartphones,Celular Nubia Music 2 4GB 128GB + Auriculares I66SE WHITE,https://www.fravega.com/p/celular-nubia-music-2-4gb-128gb-auriculares-i66se-white-782671/,289999.0,239999.0,1,True
FRA-celular-moto-g17-4-256gb-bordeaux-990297,Fravega,OTRAS,Smartphones,Celular Moto G17 4+256GB Bordeaux,https://www.fravega.com/p/celular-moto-g17-4-256gb-bordeaux-990297791/,462856.0,323999.0,1,True
FRA-celular-xiaomi-redmi-note-15-8gb-256gb-b,Fravega,XIAOMI,Smartphones,Celular Xiaomi Redmi Note 15 8GB 256GB Black,https://www.fravega.com/p/celular-xiaomi-redmi-note-15-8gb-256gb-black-782936/,749999.0,599999.0,1,True
FRA-celular-motorola-razr-fold-16gb-1tb-blac,Fravega,MOTOROLA,Smartphones,Celular Motorola Razr Fold 16GB 1TB Blackened,https://www.fravega.com/p/celular-motorola-razr-fold-16gb-1tb-blackened-783100/,3699999.0,2799999.0,1,True
FRA-celular-zte-blade-v80-max-4gb-256gb-blac,Fravega,ZTE,Smartphones,Celular ZTE Blade V80 Max 4GB 256GB Black,https://www.fravega.com/p/celular-zte-blade-v80-max-4gb-256gb-black-783239/,449999.0,329999.0,1,True
FRA-celular-motorola-moto-g04s-4gb-64gb-sunr,Fravega,MOTOROLA,Smartphones,Celular Motorola Moto G04s 4GB 64GB Sunrise Orange PB380015AR,https://www.fravega.com/p/celular-motorola-moto-g04s-4gb-64gb-sunrise-orange-pb380015ar-990295649/,314599.0,246998.99,1,True
FRA-celular-samsung-galaxy-s25-fe-5g-256gb-j,Fravega,SAMSUNG,Smartphones,Celular Samsung Galaxy S25 FE 5G 256GB Jet Black,https://www.fravega.com/p/celular-samsung-galaxy-s25-fe-5g-256gb-jet-black-782880/,1799999.0,1599999.0,1,True
FRA-celular-nubia-neo-3-gt-5g-256gb-grey-782,Fravega,OTRAS,Smartphones,Celular Nubia Neo 3 GT 5G 256GB Grey,https://www.fravega.com/p/celular-nubia-neo-3-gt-5g-256gb-grey-782579/,689999.0,619999.0,1,True
FRA-celular-xiaomi-redmi-15c-4gb-128gb-blue-,Fravega,XIAOMI,Smartphones,Celular Xiaomi Redmi 15C 4GB 128GB Blue,https://www.fravega.com/p/celular-xiaomi-redmi-15c-4gb-128gb-blue-782955/,399999.0,299999.0,1,True
FRA-celular-zte-a56-pro-4gb-128gb-gold-78244,Fravega,ZTE,Smartphones,Celular ZTE A56 Pro 4GB 128GB Gold,https://www.fravega.com/p/celular-zte-a56-pro-4gb-128gb-gold-782442/,269999.0,229999.0,1,True
FRA-celular-moto-motorola-g24-power-128-8gb-,Fravega,MOTOROLA,Smartphones,Celular Moto Motorola G24 Power 128/8GB Celeste,https://www.fravega.com/p/celular-moto-motorola-g24-power-128-8gb-celeste-990190458/,499998.0,299999.0,1,True
FRA-celular-samsung-galaxy-a16-lte-4gb-128gb,Fravega,SAMSUNG,Smartphones,Celular Samsung Galaxy A16 LTE 4GB 128GB Gris,https://www.fravega.com/p/celular-samsung-galaxy-a16-lte-4gb-128gb-gris-782877/,469999.0,279999.0,1,True
FRA-celular-motorola-gmax-8gb-256gb-blue-ato,Fravega,MOTOROLA,Smartphones,Celular Motorola GMAX 8GB 256GB Blue Atoll,https://www.fravega.com/p/celular-motorola-gmax-8gb-256gb-blue-atoll-783082/,899999.0,799999.0,1,True
FRA-celular-xiaomi-redmi-note-15-pro-5g-8gb-,Fravega,XIAOMI,Smartphones,Celular Xiaomi Redmi Note 15 Pro 5G 8GB 512GB Black,https://www.fravega.com/p/celular-xiaomi-redmi-note-15-pro-5g-8gb-512gb-black-782932/,1199999.0,899999.0,1,True
FRA-celular-zte-v80-pro-8-gb-256-gb-negro-78,Fravega,ZTE,Smartphones,Celular ZTE V80 PRO 8 GB 256 GB Negro,https://www.fravega.com/p/celular-zte-v80-pro-8-gb-256-gb-negro-782438/,484999.0,449999.0,1,True
FRA-celular-xiaomi-redmi-note-14-pro-256gb-o,Fravega,XIAOMI,Smartphones,Celular Xiaomi Redmi Note 14 Pro 256GB Ocean Blue,https://www.fravega.com/p/celular-xiaomi-redmi-note-14-pro-256gb-ocean-blue-782632/,799999.0,729999.0,1,True
FRA-celular-motorola-edge-70-pro-12gb-512gb-,Fravega,MOTOROLA,Smartphones,Celular Motorola Edge 70 Pro 12GB 512GB Lily Titan,https://www.fravega.com/p/celular-motorola-edge-70-pro-12gb-512gb-lily-titan-783087/,1699999.0,1499999.0,1,True
FRA-celular-motorola-edge-70-12gb-512gb-7824,Fravega,MOTOROLA,Smartphones,Celular Motorola EDGE 70 12GB 512GB,https://www.fravega.com/p/celular-motorola-edge-70-12gb-512gb-782437/,1499999.0,1199999.0,1,True
FRA-celular-samsung-galaxy-a37-5g-8gb-256gb-,Fravega,SAMSUNG,Smartphones,Celular Samsung Galaxy A37 5G 8GB 256GB Gris,https://www.fravega.com/p/celular-samsung-galaxy-a37-5g-8gb-256gb-gris-783024/,1149999.0,899999.0,1,True
FRA-celular-samsung-galaxy-a37-5g-8gb-256gb-,Fravega,SAMSUNG,Smartphones,Celular Samsung Galaxy A37 5G 8GB 256GB Violeta,https://www.fravega.com/p/celular-samsung-galaxy-a37-5g-8gb-256gb-violeta-783103/,1149999.0,899999.0,1,True
FRA-celular-samsung-galaxy-a57-5g-8gb-256gb-,Fravega,SAMSUNG,Smartphones,Celular Samsung Galaxy A57 5G 8GB 256GB Gris,https://www.fravega.com/p/celular-samsung-galaxy-a57-5g-8gb-256gb-gris-783021/,1349999.0,1115701.65,1,True
FRA-celular-motorola-g06-nfc-4gb-64gb-azul-7,Fravega,MOTOROLA,Smartphones,Celular Motorola G06 NFC 4GB 64GB Azul,https://www.fravega.com/p/celular-motorola-g06-nfc-4gb-64gb-azul-783096/,259999.0,199999.0,1,True
FRA-celular-moto-g17-4-256gb-alaskan-blue-99,Fravega,OTRAS,Smartphones,Celular Moto G17 4+256GB Alaskan Blue,https://www.fravega.com/p/celular-moto-g17-4-256gb-alaskan-blue-990297861/,417141.0,291999.0,1,True
FRA-celular-moto-g17-4-128gb-evening-blue-99,Fravega,OTRAS,Smartphones,Celular Moto G17 4+128GB Evening Blue,https://www.fravega.com/p/celular-moto-g17-4-128gb-evening-blue-990297863/,328570.0,229999.0,1,True
FRA-celular-motorola-g67-4gb-256gb-782665,Fravega,MOTOROLA,Smartphones,Celular Motorola G67 4GB 256GB,https://www.fravega.com/p/celular-motorola-g67-4gb-256gb-782665/,699999.0,549999.0,1,True
FRA-motorola-moto-g77-256gb-8gb-shaded-spruc,Fravega,MOTOROLA,Smartphones,Motorola Moto G77 256gb 8gb Shaded Spruce,https://www.fravega.com/p/motorola-moto-g77-256gb-8gb-shaded-spruce-22894084/,958348.14,636439.0,1,True
FRA-celular-samsung-galaxy-a17-128gb-negro-7,Fravega,SAMSUNG,Smartphones,Celular Samsung Galaxy A17 128GB Negro,https://www.fravega.com/p/celular-samsung-galaxy-a17-128gb-negro-782838/,489999.0,429999.0,1,True
FRA-celular-motorola-g17-4gb-128gb-782866,Fravega,MOTOROLA,Smartphones,Celular Motorola G17 4GB 128GB,https://www.fravega.com/p/celular-motorola-g17-4gb-128gb-782866/,399999.0,299999.0,1,True
FRA-celular-xiaomi-redmi-15c-4gb-128gb-black,Fravega,XIAOMI,Smartphones,Celular Xiaomi Redmi 15C 4GB 128GB Black,https://www.fravega.com/p/celular-xiaomi-redmi-15c-4gb-128gb-black-782956/,399999.0,299999.0,1,True
FRA-celular-zte-a56-pro-4gb-128gb-gray-78245,Fravega,ZTE,Smartphones,Celular ZTE A56 Pro 4GB 128GB Gray,https://www.fravega.com/p/celular-zte-a56-pro-4gb-128gb-gray-782455/,269999.0,229999.0,1,True
FRA-celular-samsung-galaxy-s25-fe-5g-256gb-b,Fravega,SAMSUNG,Smartphones,Celular Samsung Galaxy S25 FE 5G 256GB Blanco,https://www.fravega.com/p/celular-samsung-galaxy-s25-fe-5g-256gb-blanco-782716/,1799999.0,1599999.0,1,True
FRA-celular-motorola-g06-nfc-4gb-64gb-naranj,Fravega,MOTOROLA,Smartphones,Celular Motorola G06 NFC 4GB 64GB Naranja,https://www.fravega.com/p/celular-motorola-g06-nfc-4gb-64gb-naranja-783095/,259999.0,199999.0,1,True
FRA-celular-nubia-music-2-4gb-128gb-auricula,Fravega,OTRAS,Smartphones,Celular Nubia Music 2 4GB 128GB + Auriculares I66SE WHITE,https://www.fravega.com/p/celular-nubia-music-2-4gb-128gb-auriculares-i66se-white-782671/,289999.0,239999.0,1,True
FRA-celular-moto-g17-4-256gb-bordeaux-990297,Fravega,OTRAS,Smartphones,Celular Moto G17 4+256GB Bordeaux,https://www.fravega.com/p/celular-moto-g17-4-256gb-bordeaux-990297791/,462856.0,323999.0,1,True
